Customer_Depot_FK,One_way_distance,Supplier_Depot_FK
60.0,644.82,57.0
1.0,580.38,59.0
2.0,651.75,59.0
5.0,527.89,59.0
6.0,583.22,59.0
7.0,633.59,59.0
33.0,578.33,59.0
37.0,631.35,59.0
49.0,1.55,59.0
50.0,440.84,59.0
54.0,163.9,59.0
55.0,163.9,59.0
1.0,199.83,60.0
2.0,661.71,60.0
3.0,403.07,60.0
4.0,555.0,60.0
5.0,187.16,60.0
6.0,222.92,60.0
7.0,250.94,60.0
10.0,348.47,60.0
12.0,404.76,60.0
13.0,536.82,60.0
14.0,374.25,60.0
16.0,500.21,60.0
17.0,347.67,60.0
18.0,444.28,60.0
19.0,513.9,60.0
20.0,374.25,60.0
21.0,495.16,60.0
22.0,472.2,60.0
23.0,395.07,60.0
24.0,358.67,60.0
25.0,409.11,60.0
26.0,435.38,60.0
33.0,119.05,60.0
34.0,168.76,60.0
36.0,365.28,60.0
37.0,255.28,60.0
40.0,374.35,60.0
41.0,267.81,60.0
45.0,145.04,60.0
46.0,396.08,60.0
49.0,437.43,60.0
50.0,4.41,60.0
54.0,272.37,60.0
55.0,272.37,60.0
57.0,423.2,60.0
58.0,423.2,60.0
60.0,589.25,60.0
2.0,356.06,61.0
3.0,532.02,61.0
4.0,471.87,61.0
8.0,481.18,61.0
10.0,520.66,61.0
12.0,538.48,61.0
13.0,407.23,61.0
14.0,540.62,61.0
17.0,594.48,61.0
19.0,455.17,61.0
20.0,540.62,61.0
23.0,541.2,61.0
24.0,511.58,61.0
25.0,604.22,61.0
26.0,508.75,61.0
29.0,427.29,61.0
35.0,593.61,61.0
36.0,535.25,61.0
38.0,109.01,61.0
39.0,132.16,61.0
40.0,541.41,61.0
42.0,180.63,61.0
43.0,97.48,61.0
44.0,162.98,61.0
46.0,543.6,61.0
47.0,548.54,61.0
48.0,564.72,61.0
53.0,13.1,61.0
57.0,533.33,61.0
58.0,533.33,61.0
1.0,513.08,62.0
2.0,315.98,62.0
3.0,392.39,62.0
4.0,267.54,62.0
5.0,550.3,62.0
6.0,509.23,62.0
7.0,492.04,62.0
8.0,427.24,62.0
10.0,381.03,62.0
12.0,398.86,62.0
13.0,231.18,62.0
14.0,400.99,62.0
17.0,454.85,62.0
19.0,279.82,62.0
20.0,400.99,62.0
22.0,593.2,62.0
23.0,401.57,62.0
24.0,371.95,62.0
25.0,464.6,62.0
26.0,369.12,62.0
29.0,99.2,62.0
33.0,584.81,62.0
35.0,539.66,62.0
36.0,395.62,62.0
37.0,493.31,62.0
38.0,149.5,62.0
39.0,173.46,62.0
40.0,401.78,62.0
41.0,487.87,62.0
42.0,3.54,62.0
43.0,90.75,62.0
44.0,88.25,62.0
46.0,403.97,62.0
47.0,494.6,62.0
48.0,510.78,62.0
53.0,184.77,62.0
57.0,377.92,62.0
58.0,377.92,62.0
59.0,3.06,63.0
1.0,187.94,64.0
2.0,329.71,64.0
3.0,54.85,64.0
4.0,147.87,64.0
5.0,242.25,64.0
6.0,184.09,64.0
7.0,166.89,64.0
8.0,630.79,64.0
10.0,81.74,64.0
12.0,37.11,64.0
13.0,149.14,64.0
14.0,29.41,64.0
17.0,69.9,64.0
18.0,538.01,64.0
19.0,118.39,64.0
20.0,29.41,64.0
21.0,306.62,64.0
22.0,273.25,64.0
23.0,40.54,64.0
24.0,74.2,64.0
25.0,68.2,64.0
26.0,27.48,64.0
29.0,305.53,64.0
33.0,276.75,64.0
34.0,303.95,64.0
35.0,518.66,64.0
36.0,68.8,64.0
37.0,168.17,64.0
38.0,468.71,64.0
39.0,418.35,64.0
40.0,23.07,64.0
41.0,133.03,64.0
42.0,402.32,64.0
43.0,490.26,64.0
44.0,487.75,64.0
45.0,307.76,64.0
46.0,3.68,64.0
47.0,555.72,64.0
48.0,551.77,64.0
50.0,409.29,64.0
53.0,531.34,64.0
54.0,556.4,64.0
55.0,556.4,64.0
57.0,12.51,64.0
58.0,12.51,64.0
60.0,403.75,64.0
11.0,112.0,65.0
15.0,15.58,65.0
27.0,428.79,65.0
28.0,407.09,65.0
30.0,463.8,65.0
51.0,23.9,65.0
61.0,30.2,65.0
1.0,239.01,66.0
2.0,392.73,66.0
3.0,117.88,66.0
4.0,182.61,66.0
5.0,288.02,66.0
6.0,232.5,66.0
7.0,176.02,66.0
8.0,630.85,66.0
10.0,147.41,66.0
12.0,97.1,66.0
13.0,216.85,66.0
14.0,79.43,66.0
16.0,542.11,66.0
17.0,73.47,66.0
18.0,488.84,66.0
19.0,186.1,66.0
20.0,82.08,66.0
21.0,244.02,66.0
22.0,207.99,66.0
23.0,106.22,66.0
24.0,139.88,66.0
25.0,2.59,66.0
26.0,95.2,66.0
29.0,375.9,66.0
31.0,774.66,66.0
32.0,767.1,66.0
33.0,322.5,66.0
34.0,291.58,66.0
35.0,518.72,66.0
36.0,131.82,66.0
37.0,175.97,66.0
38.0,534.39,66.0
39.0,484.02,66.0
40.0,76.61,66.0
41.0,153.65,66.0
42.0,468.0,66.0
43.0,555.94,66.0
44.0,550.78,66.0
45.0,295.39,66.0
46.0,71.15,66.0
47.0,558.43,66.0
48.0,554.48,66.0
50.0,411.45,66.0
53.0,594.36,66.0
54.0,619.42,66.0
55.0,619.42,66.0
57.0,76.34,66.0
58.0,76.34,66.0
60.0,341.15,66.0
4.0,483.87,67.0
8.0,104.03,67.0
9.0,682.69,67.0
13.0,542.72,67.0
19.0,540.34,67.0
21.0,565.91,67.0
22.0,559.34,67.0
25.0,562.8,67.0
26.0,563.25,67.0
29.0,449.96,67.0
31.0,458.99,67.0
32.0,462.78,67.0
35.0,54.34,67.0
38.0,800.07,67.0
42.0,523.46,67.0
43.0,516.86,67.0
44.0,444.52,67.0
46.0,565.53,67.0
47.0,28.96,67.0
48.0,14.44,67.0
53.0,585.55,67.0
60.0,648.79,67.0
1.0,308.17,68.0
2.0,272.52,68.0
3.0,152.08,68.0
4.0,54.83,68.0
5.0,345.39,68.0
6.0,304.32,68.0
7.0,287.13,68.0
8.0,516.39,68.0
10.0,196.56,68.0
12.0,151.93,68.0
13.0,36.06,68.0
14.0,141.14,68.0
17.0,191.15,68.0
19.0,20.34,68.0
20.0,141.14,68.0
21.0,386.47,68.0
22.0,353.1,68.0
23.0,155.36,68.0
24.0,189.02,68.0
25.0,200.89,68.0
26.0,115.03,68.0
29.0,192.46,68.0
33.0,379.9,68.0
34.0,425.2,68.0
35.0,490.41,68.0
36.0,183.62,68.0
37.0,288.4,68.0
38.0,369.46,68.0
39.0,319.1,68.0
40.0,144.32,68.0
41.0,254.28,68.0
42.0,267.95,68.0
43.0,355.89,68.0
44.0,353.38,68.0
45.0,429.0,68.0
46.0,136.01,68.0
47.0,527.47,68.0
48.0,523.53,68.0
50.0,529.43,68.0
53.0,432.09,68.0
54.0,636.86,68.0
55.0,636.86,68.0
57.0,130.42,68.0
58.0,130.42,68.0
60.0,483.61,68.0
9.0,48.2,69.0
30.0,571.99,69.0
31.0,300.41,69.0
32.0,292.84,69.0
35.0,603.78,69.0
47.0,661.19,69.0
48.0,646.35,69.0
56.0,280.04,69.0
60.0,559.76,69.0
1.0,156.07,70.0
2.0,287.55,70.0
3.0,38.46,70.0
4.0,201.84,70.0
5.0,193.29,70.0
6.0,152.22,70.0
7.0,135.03,70.0
8.0,705.99,70.0
10.0,25.04,70.0
12.0,57.33,70.0
13.0,162.66,70.0
14.0,73.53,70.0
17.0,131.84,70.0
19.0,160.75,70.0
20.0,73.53,70.0
21.0,378.46,70.0
22.0,345.08,70.0
23.0,47.64,70.0
24.0,17.19,70.0
25.0,146.67,70.0
26.0,70.77,70.0
29.0,340.43,70.0
33.0,227.8,70.0
34.0,296.21,70.0
36.0,41.69,70.0
37.0,136.3,70.0
38.0,426.56,70.0
39.0,376.19,70.0
40.0,74.31,70.0
41.0,130.86,70.0
42.0,360.16,70.0
43.0,448.1,70.0
44.0,445.59,70.0
45.0,320.81,70.0
46.0,86.05,70.0
50.0,377.33,70.0
53.0,489.18,70.0
54.0,484.76,70.0
55.0,484.76,70.0
57.0,75.77,70.0
58.0,75.77,70.0
60.0,475.59,70.0
4.0,479.89,71.0
8.0,100.06,71.0
9.0,691.46,71.0
13.0,538.74,71.0
19.0,536.36,71.0
21.0,561.93,71.0
22.0,555.36,71.0
25.0,558.82,71.0
26.0,559.28,71.0
29.0,445.98,71.0
31.0,467.76,71.0
32.0,471.54,71.0
35.0,50.37,71.0
38.0,796.09,71.0
39.0,745.72,71.0
42.0,519.48,71.0
43.0,512.88,71.0
44.0,440.55,71.0
46.0,561.55,71.0
47.0,24.98,71.0
48.0,7.61,71.0
53.0,581.57,71.0
57.0,565.34,71.0
58.0,565.34,71.0
60.0,644.82,71.0
4.0,480.02,72.0
8.0,100.19,72.0
9.0,691.59,72.0
13.0,538.87,72.0
19.0,536.49,72.0
21.0,562.07,72.0
22.0,555.5,72.0
25.0,558.96,72.0
26.0,559.41,72.0
29.0,446.11,72.0
31.0,467.89,72.0
32.0,471.68,72.0
35.0,50.5,72.0
38.0,796.23,72.0
39.0,745.86,72.0
42.0,519.61,72.0
43.0,513.02,72.0
44.0,440.68,72.0
46.0,561.69,72.0
47.0,25.12,72.0
48.0,7.74,72.0
53.0,581.7,72.0
57.0,565.47,72.0
58.0,565.47,72.0
60.0,644.95,72.0
1.0,221.27,73.0
2.0,304.04,73.0
3.0,88.18,73.0
4.0,118.19,73.0
5.0,275.58,73.0
6.0,217.42,73.0
7.0,200.22,73.0
8.0,601.11,73.0
10.0,115.06,73.0
12.0,70.44,73.0
13.0,118.01,73.0
14.0,62.74,73.0
17.0,109.48,73.0
18.0,543.68,73.0
19.0,87.26,73.0
20.0,62.74,73.0
21.0,319.02,73.0
22.0,285.64,73.0
23.0,73.87,73.0
24.0,107.53,73.0
25.0,80.6,73.0
26.0,43.36,73.0
29.0,274.41,73.0
33.0,310.08,73.0
34.0,343.53,73.0
35.0,488.98,73.0
36.0,102.13,73.0
37.0,201.49,73.0
38.0,443.05,73.0
39.0,392.68,73.0
40.0,62.65,73.0
41.0,172.61,73.0
42.0,349.9,73.0
43.0,437.84,73.0
44.0,435.33,73.0
45.0,347.34,73.0
46.0,45.64,73.0
47.0,526.04,73.0
48.0,522.09,73.0
50.0,442.52,73.0
53.0,505.68,73.0
54.0,589.73,73.0
55.0,589.73,73.0
57.0,49.42,73.0
58.0,49.42,73.0
60.0,416.15,73.0
1.0,239.01,75.0
2.0,392.73,75.0
3.0,120.53,75.0
4.0,182.61,75.0
5.0,288.02,75.0
6.0,235.16,75.0
7.0,176.02,75.0
8.0,630.85,75.0
10.0,147.41,75.0
12.0,94.44,75.0
13.0,219.5,75.0
14.0,79.43,75.0
16.0,544.77,75.0
17.0,70.81,75.0
18.0,488.84,75.0
19.0,186.1,75.0
20.0,82.08,75.0
21.0,241.37,75.0
22.0,207.99,75.0
23.0,103.56,75.0
24.0,139.88,75.0
25.0,2.59,75.0
26.0,97.85,75.0
29.0,375.9,75.0
31.0,777.32,75.0
32.0,767.1,75.0
33.0,322.5,75.0
34.0,291.58,75.0
35.0,521.37,75.0
36.0,131.82,75.0
37.0,173.32,75.0
38.0,534.39,75.0
39.0,481.37,75.0
40.0,76.61,75.0
41.0,153.65,75.0
42.0,465.35,75.0
43.0,553.28,75.0
44.0,553.43,75.0
45.0,292.74,75.0
46.0,68.49,75.0
47.0,555.78,75.0
48.0,551.83,75.0
50.0,414.11,75.0
53.0,597.02,75.0
54.0,619.42,75.0
55.0,619.42,75.0
57.0,76.34,75.0
58.0,76.34,75.0
60.0,341.15,75.0
1.0,259.0,74.0
2.0,186.91,74.0
3.0,138.31,74.0
4.0,149.15,74.0
5.0,296.22,74.0
6.0,255.15,74.0
7.0,237.96,74.0
8.0,591.76,74.0
10.0,126.95,74.0
12.0,144.77,74.0
13.0,95.32,74.0
14.0,146.91,74.0
17.0,200.77,74.0
19.0,95.43,74.0
20.0,146.91,74.0
21.0,447.38,74.0
22.0,414.0,74.0
23.0,147.48,74.0
24.0,117.87,74.0
25.0,210.51,74.0
26.0,115.04,74.0
29.0,239.79,74.0
33.0,330.73,74.0
34.0,399.14,74.0
35.0,610.16,74.0
36.0,141.53,74.0
37.0,239.23,74.0
38.0,325.91,74.0
39.0,275.54,74.0
40.0,147.7,74.0
41.0,233.79,74.0
42.0,259.52,74.0
43.0,347.46,74.0
44.0,344.95,74.0
45.0,423.74,74.0
46.0,149.89,74.0
47.0,647.22,74.0
48.0,643.27,74.0
50.0,480.26,74.0
53.0,388.54,74.0
54.0,587.69,74.0
55.0,587.69,74.0
57.0,139.62,74.0
58.0,139.62,74.0
60.0,544.51,74.0
1.0,187.94,1.0
2.0,329.71,1.0
4.0,147.87,1.0
5.0,242.25,1.0
6.0,184.09,1.0
7.0,166.89,1.0
8.0,630.79,1.0
10.0,81.74,1.0
13.0,149.14,1.0
18.0,538.01,1.0
21.0,306.62,1.0
22.0,273.25,1.0
23.0,40.54,1.0
24.0,74.2,1.0
25.0,68.2,1.0
26.0,27.48,1.0
29.0,305.53,1.0
33.0,276.75,1.0
34.0,303.95,1.0
35.0,518.66,1.0
36.0,68.8,1.0
37.0,168.17,1.0
38.0,468.71,1.0
39.0,418.35,1.0
41.0,133.03,1.0
42.0,402.32,1.0
43.0,490.26,1.0
44.0,487.75,1.0
45.0,307.76,1.0
47.0,555.72,1.0
48.0,551.77,1.0
50.0,409.29,1.0
53.0,531.34,1.0
54.0,556.4,1.0
55.0,556.4,1.0
60.0,403.75,1.0
1.0,259.0,2.0
2.0,186.91,2.0
3.0,138.31,2.0
5.0,296.22,2.0
6.0,255.15,2.0
7.0,237.96,2.0
8.0,591.76,2.0
10.0,126.95,2.0
12.0,144.77,2.0
13.0,95.32,2.0
14.0,146.91,2.0
17.0,200.77,2.0
19.0,95.43,2.0
20.0,146.91,2.0
21.0,447.38,2.0
22.0,414.0,2.0
23.0,147.48,2.0
24.0,117.87,2.0
25.0,210.51,2.0
26.0,115.04,2.0
29.0,239.79,2.0
33.0,330.73,2.0
34.0,399.14,2.0
35.0,610.16,2.0
36.0,141.53,2.0
37.0,239.23,2.0
38.0,325.91,2.0
39.0,275.54,2.0
40.0,147.7,2.0
41.0,233.79,2.0
42.0,259.52,2.0
43.0,347.46,2.0
44.0,344.95,2.0
45.0,423.74,2.0
46.0,149.89,2.0
47.0,647.22,2.0
48.0,643.27,2.0
50.0,480.26,2.0
53.0,388.54,2.0
54.0,587.69,2.0
55.0,587.69,2.0
57.0,139.62,2.0
58.0,139.62,2.0
60.0,544.51,2.0
1.0,53.48,3.0
2.0,412.35,3.0
3.0,153.72,3.0
4.0,305.64,3.0
5.0,102.48,3.0
10.0,99.12,3.0
12.0,155.4,3.0
13.0,287.46,3.0
14.0,124.57,3.0
16.0,514.13,3.0
17.0,122.82,3.0
18.0,458.21,3.0
19.0,264.55,3.0
20.0,124.57,3.0
21.0,353.36,3.0
22.0,330.39,3.0
23.0,145.71,3.0
24.0,109.31,3.0
25.0,166.35,3.0
26.0,186.03,3.0
29.0,465.24,3.0
33.0,136.97,3.0
34.0,172.83,3.0
36.0,115.92,3.0
38.0,551.36,3.0
39.0,500.99,3.0
40.0,124.67,3.0
41.0,18.13,3.0
42.0,484.96,3.0
43.0,572.9,3.0
44.0,570.4,3.0
45.0,197.44,3.0
46.0,146.4,3.0
50.0,253.95,3.0
54.0,466.44,3.0
55.0,466.44,3.0
57.0,141.5,3.0
58.0,141.5,3.0
60.0,455.8,3.0
1.0,156.07,4.0
2.0,287.55,4.0
3.0,38.46,4.0
4.0,201.84,4.0
5.0,193.29,4.0
6.0,152.22,4.0
7.0,135.03,4.0
8.0,705.99,4.0
12.0,57.33,4.0
13.0,162.66,4.0
14.0,73.53,4.0
17.0,131.84,4.0
19.0,160.75,4.0
20.0,73.53,4.0
21.0,378.46,4.0
22.0,345.08,4.0
25.0,146.67,4.0
26.0,70.77,4.0
29.0,340.43,4.0
33.0,227.8,4.0
34.0,296.21,4.0
37.0,136.3,4.0
38.0,426.56,4.0
39.0,376.19,4.0
40.0,74.31,4.0
41.0,130.86,4.0
42.0,360.16,4.0
43.0,448.1,4.0
44.0,445.59,4.0
45.0,320.81,4.0
46.0,86.05,4.0
50.0,377.33,4.0
53.0,489.18,4.0
54.0,484.76,4.0
55.0,484.76,4.0
57.0,75.77,4.0
58.0,75.77,4.0
60.0,475.59,4.0
15.0,8.4,5.0
27.0,424.38,5.0
28.0,402.68,5.0
30.0,459.39,5.0
1.0,219.37,6.0
2.0,491.67,6.0
3.0,207.31,6.0
4.0,295.45,6.0
5.0,268.38,6.0
6.0,215.52,6.0
7.0,181.29,6.0
10.0,242.54,6.0
12.0,180.41,6.0
13.0,315.79,6.0
14.0,165.39,6.0
16.0,406.94,6.0
17.0,114.02,6.0
18.0,351.01,6.0
19.0,285.04,6.0
20.0,165.39,6.0
21.0,187.39,6.0
23.0,192.47,6.0
24.0,243.91,6.0
25.0,134.16,6.0
26.0,194.14,6.0
29.0,472.19,6.0
33.0,302.86,6.0
36.0,220.68,6.0
37.0,171.94,6.0
40.0,162.57,6.0
41.0,152.27,6.0
42.0,564.28,6.0
45.0,176.4,6.0
46.0,177.72,6.0
50.0,309.11,6.0
54.0,580.72,6.0
55.0,580.72,6.0
57.0,172.81,6.0
58.0,172.81,6.0
4.0,475.11,7.0
8.0,91.55,7.0
9.0,694.21,7.0
13.0,533.96,7.0
19.0,531.58,7.0
21.0,557.16,7.0
22.0,550.59,7.0
25.0,554.04,7.0
26.0,554.5,7.0
29.0,437.47,7.0
31.0,470.51,7.0
32.0,474.3,7.0
38.0,787.58,7.0
39.0,737.21,7.0
42.0,510.97,7.0
43.0,504.37,7.0
44.0,432.04,7.0
46.0,556.77,7.0
47.0,16.47,7.0
53.0,573.06,7.0
57.0,560.56,7.0
58.0,560.56,7.0
60.0,640.04,7.0
9.0,262.97,8.0
27.0,322.78,8.0
28.0,346.82,8.0
30.0,286.37,8.0
31.0,517.61,8.0
32.0,510.04,8.0
2.0,412.35,9.0
3.0,153.72,9.0
4.0,305.64,9.0
10.0,99.12,9.0
12.0,155.4,9.0
13.0,287.46,9.0
14.0,124.57,9.0
16.0,514.13,9.0
17.0,122.82,9.0
18.0,458.21,9.0
19.0,264.55,9.0
20.0,124.57,9.0
21.0,353.36,9.0
22.0,330.39,9.0
23.0,145.71,9.0
24.0,109.31,9.0
25.0,166.35,9.0
26.0,186.03,9.0
29.0,465.24,9.0
33.0,136.97,9.0
34.0,172.83,9.0
36.0,115.92,9.0
38.0,551.36,9.0
39.0,500.99,9.0
40.0,124.67,9.0
42.0,484.96,9.0
43.0,572.9,9.0
44.0,570.4,9.0
45.0,197.44,9.0
46.0,146.4,9.0
50.0,253.95,9.0
54.0,466.44,9.0
55.0,466.44,9.0
57.0,141.5,9.0
58.0,141.5,9.0
60.0,455.8,9.0
1.0,259.0,10.0
3.0,138.31,10.0
5.0,296.22,10.0
6.0,255.15,10.0
7.0,237.96,10.0
8.0,591.76,10.0
10.0,126.95,10.0
12.0,144.77,10.0
14.0,146.91,10.0
17.0,200.77,10.0
20.0,146.91,10.0
21.0,447.38,10.0
22.0,414.0,10.0
23.0,147.48,10.0
24.0,117.87,10.0
25.0,210.51,10.0
26.0,115.04,10.0
33.0,330.73,10.0
34.0,399.14,10.0
35.0,610.16,10.0
36.0,141.53,10.0
37.0,239.23,10.0
38.0,325.91,10.0
39.0,275.54,10.0
40.0,147.7,10.0
41.0,233.79,10.0
42.0,259.52,10.0
43.0,347.46,10.0
44.0,344.95,10.0
45.0,423.74,10.0
46.0,149.89,10.0
47.0,647.22,10.0
48.0,643.27,10.0
50.0,480.26,10.0
53.0,388.54,10.0
54.0,587.69,10.0
